Sno,Furnished,Facing,Parking,Ownership,Booking,Buy
710,Unfurnished,East,Yes,,280000,1400000
711,Unfurnished,South,Yes,,270000,1350000
712,Unfurnished,East,Yes,,250000,1250000
713,Fully Furnished,,Yes,,210000,1050000
714,,North,,,199600,998000
715,Semi Furnished,West,,,185000,925000
716,Fully Furnished,West,Yes,,171000,855000
717,Fully Furnished,,Yes,,169000,845000
718,,South,Yes,,150000,750000
719,Fully Furnished,East,1 parking space,,5380020,269000
720,Fully Furnished,North,In-unit laundry (washer and dryer),,3400020,170000
721,Semi Furnished,East,$328 monthly HOA fee,,7700020,385000
722,Fully Furnished,East,$547 monthly HOA fee,,6400020,320000
723,Fully Furnished,North,$565 monthly HOA fee,,5798020,289900
724,Unfurnished,East,$902 monthly HOA fee,,9999820,499990
725,Unfurnished,East,1 garage space,,38980020,1949000
726,Fully Furnished,East,$47 monthly HOA fee,,28500020,1425000
727,Semi Furnished,East,,,8500020,425000
728,Semi Furnished,South,1 garage spaces (8 total),,17960020,898000
729,Semi Furnished,East,1 garage space,,21998020,1099900
730,Semi Furnished,,Has A/C,,7398020,369900
731,Fully Furnished,North,$698 monthly HOA fee,,15000020,750000
732,Fully Furnished,West,$284 monthly HOA fee,,17000020,850000
733,Unfurnished,West,Has garage,,27980020,1399000
734,Unfurnished,,1 parking space,,27960020,1398000
735,Fully Furnished,South,2 garage spaces,,19980020,999000
736,Fully Furnished,East,2 garage spaces,,35980020,1799000
737,Unfurnished,North,$210 monthly HOA fee,,7200020,360000
738,Fully Furnished,East,2 garage spaces,,9500020,475000
739,Semi Furnished,East,$65 monthly HOA fee,,9400020,470000
740,Semi Furnished,North,$35 monthly HOA fee,,9640020,482000
