Sno,Carpet,Status,Floor,Transaction,Year,Price
487,,ACTIVE,3,FOR SALE,,2094
488,,ACTIVE,,FOR SALE,1925,305
489,,ACTIVE,1,FOR SALE,2005,2860
490,,ACTIVE,1,FOR SALE,1925,2538
491,,ACTIVE,1,FOR SALE,1910,262
492,,ACTIVE,,FOR SALE,,436
493,,ACTIVE,1,FOR SALE,1901,4201
494,,ACTIVE,2,FOR SALE,2006,625
495,,ACTIVE,2,NEW LISTING FOR SALE,1930,438
496,,,1,FOR SALE,,
497,,ACTIVE,,FOR SALE - ACTIVE,1972,424
498,,ACTIVE,,FOR SALE - ACTIVE,1927,338
499,1100,ACTIVE,,FOR SALE - ACTIVE,2001,350
500,700,ACTIVE,,FOR SALE - ACTIVE,1971,457
501,730,ACTIVE,,FOR SALE - ACTIVE,2002,397
502,1450,ACTIVE,,FOR SALE - ACTIVE,2008,345
503,2879,ACTIVE,,FOR SALE - ACTIVE,1927,677
504,2507,ACTIVE,,FOR SALE - ACTIVE,2024,568
505,860,ACTIVE,,FOR SALE - ACTIVE,1984,
506,1880,ACTIVE,,FOR SALE - ACTIVE,1960,478
507,3270,ACTIVE,,FOR SALE - ACTIVE,1930,336
508,949,ACTIVE,,FOR SALE - ACTIVE,2024,390
509,1065,ACTIVE,,FOR SALE - ACTIVE,2009,704
510,1500,COMING SOON,,COMING SOON ON JUN 25,2024,567
511,1400,COMING SOON,,COMING SOON ON JUL 19,1920,999
512,1889,ACTIVE,,FOR SALE - ACTIVE,1928,740
513,1409,ACTIVE,,FOR SALE - ACTIVE,1971,709
514,2071,ACTIVE,,FOR SALE - ACTIVE,2001,869
515,1106,ACTIVE,,FOR SALE - ACTIVE,2007,325
516,1243,ACTIVE,,FOR SALE - ACTIVE,1958,382
517,1305,ACTIVE,,FOR SALE - ACTIVE,2000,360
518,1924,ACTIVE,,FOR SALE - ACTIVE,1997,251
519,9000,ACTIVE,1,FOR SALE,2024,1111
520,13400,ACTIVE,2,FOR SALE,1885,746
521,10000,ACTIVE,2,NEW LISTING FOR SALE,2007,890
522,,,3,FOR SALE,1885,
523,7800,ACTIVE,1,FOR SALE,1931,997
524,9700,ACTIVE,,FOR SALE,1894,794
525,5500,ACTIVE,,FOR SALE,1929,1364
526,7900,ACTIVE,2,FOR SALE,1995,930
527,5500,ACTIVE,3,FOR SALE,1928,1272
528,4420,ACTIVE,,FOR SALE PRICE REDUCED,2018,1578
529,8700,ACTIVE,1,FOR SALE,2006,793
530,7252,ACTIVE,,NEW LISTING FOR SALE,1997,909
531,11664,ACTIVE,1,FEATURED LISTING,1937,2314
532,165,ACTIVE,,NEW LISTING FOR SALE,2015,7697
533,16,ACTIVE,1,FOR SALE,,2900
534,11664,ACTIVE,1,FOR SALE,2008,3855
535,117,ACTIVE,,FOR SALE,2015,3185
536,17661,ACTIVE,2,FOR SALE PRICE REDUCED,2023,2208
537,3795,ACTIVE,2,FOR SALE,1955,8933
538,11461,ACTIVE,,NEW LISTING FOR SALE,2024,2618
539,13600,ACTIVE,2,FOR SALE,2023,2202
540,49,ACTIVE,,FOR SALE,2017,736
541,,,2,NEW LISTING FOR SALE,1950,
542,2268,ACTIVE,3,FOR SALE,2006,1278
543,5909,ACTIVE,,FOR SALE PRICE REDUCED,1991,338
544,,,1,FOR SALE,1923,600
545,,ACTIVE,,NEW LISTING FOR SALE,1909,
546,,ACTIVE,1,NEW LISTING FOR SALE,1939,5924
547,,ACTIVE,,FOR SALE,1939,4824
548,,ACTIVE,4,FOR SALE PRICE REDUCED,1899,576
549,,ACTIVE,4,OPEN HOUSE FOR SALE,2363,
550,,ACTIVE,,FOR SALE PRICE REDUCED,1910,
551,,ACTIVE,,FOR SALE,1920,949
552,,ACTIVE,,FOR SALE,1899,434
553,,ACTIVE,,FOR SALE,1911,2149
554,,ACTIVE,2,OPEN HOUSE FOR SALE,1976,
555,,,,FOR SALE,2015,
556,175,ACTIVE,2,NEW LISTING FOR SALE,2009,1731
557,19,ACTIVE,,NEW LISTING FOR SALE,2002,1186
558,,ACTIVE,2,SALE UNDER CONTRACT,1906,
559,,ACTIVE,,SALE UNDER CONTRACT,1906,
560,,ACTIVE,3,FOR SALE,2008,1005
561,,ACTIVE,3,FOR SALE,,2094
562,,ACTIVE,,FOR SALE,1925,305
563,,ACTIVE,1,FOR SALE,2005,2860
564,,ACTIVE,1,FOR SALE,1925,2538
565,,ACTIVE,1,FOR SALE,1910,262
566,,ACTIVE,,FOR SALE,,436
567,,ACTIVE,1,FOR SALE,1901,4201
568,,ACTIVE,2,FOR SALE,2006,625
569,,ACTIVE,2,NEW LISTING FOR SALE,1930,438
570,,,1,FOR SALE,,
571,,ACTIVE,,FOR SALE - ACTIVE,1972,424
572,,ACTIVE,,FOR SALE - ACTIVE,1927,338
573,1100,ACTIVE,,FOR SALE - ACTIVE,2001,350
574,700,ACTIVE,,FOR SALE - ACTIVE,1971,457
575,730,ACTIVE,,FOR SALE - ACTIVE,2002,397
576,1450,ACTIVE,,FOR SALE - ACTIVE,2008,345
577,2879,ACTIVE,,FOR SALE - ACTIVE,1927,677
578,2507,ACTIVE,,FOR SALE - ACTIVE,2024,568
579,860,ACTIVE,,FOR SALE - ACTIVE,1984,
580,1880,ACTIVE,,FOR SALE - ACTIVE,1960,478
581,3270,ACTIVE,,FOR SALE - ACTIVE,1930,336
582,949,ACTIVE,,FOR SALE - ACTIVE,2024,390
583,1065,ACTIVE,,FOR SALE - ACTIVE,2009,704
584,1500,COMING SOON,,COMING SOON ON JUN 25,2024,567
585,1400,COMING SOON,,COMING SOON ON JUL 19,1920,999
586,1889,ACTIVE,,FOR SALE - ACTIVE,1928,740
587,1409,ACTIVE,,FOR SALE - ACTIVE,1971,709
588,2071,ACTIVE,,FOR SALE - ACTIVE,2001,869
589,1106,ACTIVE,,FOR SALE - ACTIVE,2007,325
590,1243,ACTIVE,,FOR SALE - ACTIVE,1958,382
591,1305,ACTIVE,,FOR SALE - ACTIVE,2000,360
592,1924,ACTIVE,,FOR SALE - ACTIVE,1997,251
593,9000,ACTIVE,1,FOR SALE,2024,1111
594,13400,ACTIVE,2,FOR SALE,1885,746
595,10000,ACTIVE,2,NEW LISTING FOR SALE,2007,890
596,,,3,FOR SALE,1885,
597,7800,ACTIVE,1,FOR SALE,1931,997
598,9700,ACTIVE,,FOR SALE,1894,794
599,5500,ACTIVE,,FOR SALE,1929,1364
600,7900,ACTIVE,2,FOR SALE,1995,930
601,5500,ACTIVE,3,FOR SALE,1928,1272
602,4420,ACTIVE,,FOR SALE PRICE REDUCED,2018,1578
603,8700,ACTIVE,1,FOR SALE,2006,793
604,7252,ACTIVE,,NEW LISTING FOR SALE,1997,909
605,11664,ACTIVE,1,FEATURED LISTING,1937,2314
606,165,ACTIVE,,NEW LISTING FOR SALE,2015,7697
607,16,ACTIVE,1,FOR SALE,,2900
608,11664,ACTIVE,1,FOR SALE,2008,3855
609,117,ACTIVE,,FOR SALE,2015,3185
610,17661,ACTIVE,2,FOR SALE PRICE REDUCED,2023,2208
611,3795,ACTIVE,2,FOR SALE,1955,8933
612,11461,ACTIVE,,NEW LISTING FOR SALE,2024,2618
613,13600,ACTIVE,2,FOR SALE,2023,2202
614,49,ACTIVE,,FOR SALE,2017,736
615,,,2,NEW LISTING FOR SALE,1950,
616,2268,ACTIVE,3,FOR SALE,2006,1278
617,5909,ACTIVE,,FOR SALE PRICE REDUCED,1991,338
618,,,1,FOR SALE,1923,600
619,,ACTIVE,,NEW LISTING FOR SALE,1909,
620,,ACTIVE,1,NEW LISTING FOR SALE,1939,5924
621,,ACTIVE,,FOR SALE,1939,4824
622,,ACTIVE,4,FOR SALE PRICE REDUCED,1899,576
623,,ACTIVE,4,OPEN HOUSE FOR SALE,2363,
624,,ACTIVE,,FOR SALE PRICE REDUCED,1910,
625,,ACTIVE,,FOR SALE,1920,949
626,,ACTIVE,,FOR SALE,1899,434
627,,ACTIVE,,FOR SALE,1911,2149
628,,ACTIVE,2,OPEN HOUSE FOR SALE,1976,
629,,,,FOR SALE,2015,
630,175,ACTIVE,2,NEW LISTING FOR SALE,2009,1731
631,19,ACTIVE,,NEW LISTING FOR SALE,2002,1186
632,,ACTIVE,2,SALE UNDER CONTRACT,1906,
633,,ACTIVE,,SALE UNDER CONTRACT,1906,
634,,ACTIVE,3,FOR SALE,2008,1005
635,,ACTIVE,3,FOR SALE,,2094
636,,ACTIVE,,FOR SALE,1925,305
637,,ACTIVE,1,FOR SALE,2005,2860
638,,ACTIVE,1,FOR SALE,1925,2538
639,,ACTIVE,1,FOR SALE,1910,262
640,,ACTIVE,,FOR SALE,,436
641,,ACTIVE,1,FOR SALE,1901,4201
642,,ACTIVE,2,FOR SALE,2006,625
643,,ACTIVE,2,NEW LISTING FOR SALE,1930,438
644,,,1,FOR SALE,,
645,,ACTIVE,,FOR SALE - ACTIVE,1972,424
646,,ACTIVE,,FOR SALE - ACTIVE,1927,338
647,1100,ACTIVE,,FOR SALE - ACTIVE,2001,350
648,700,ACTIVE,,FOR SALE - ACTIVE,1971,457
649,730,ACTIVE,,FOR SALE - ACTIVE,2002,397
650,1450,ACTIVE,,FOR SALE - ACTIVE,2008,345
651,2879,ACTIVE,,FOR SALE - ACTIVE,1927,677
652,2507,ACTIVE,,FOR SALE - ACTIVE,2024,568
653,860,ACTIVE,,FOR SALE - ACTIVE,1984,
654,1880,ACTIVE,,FOR SALE - ACTIVE,1960,478
655,3270,ACTIVE,,FOR SALE - ACTIVE,1930,336
656,949,ACTIVE,,FOR SALE - ACTIVE,2024,390
657,1065,ACTIVE,,FOR SALE - ACTIVE,2009,704
658,1500,COMING SOON,,COMING SOON ON JUN 25,2024,567
659,1400,COMING SOON,,COMING SOON ON JUL 19,1920,999
660,1889,ACTIVE,,FOR SALE - ACTIVE,1928,740
661,1409,ACTIVE,,FOR SALE - ACTIVE,1971,709
662,2071,ACTIVE,,FOR SALE - ACTIVE,2001,869
663,1106,ACTIVE,,FOR SALE - ACTIVE,2007,325
664,1243,ACTIVE,,FOR SALE - ACTIVE,1958,382
665,1305,ACTIVE,,FOR SALE - ACTIVE,2000,360
666,1924,ACTIVE,,FOR SALE - ACTIVE,1997,251
667,9000,ACTIVE,1,FOR SALE,2024,1111
668,13400,ACTIVE,2,FOR SALE,1885,746
669,10000,ACTIVE,2,NEW LISTING FOR SALE,2007,890
670,,,3,FOR SALE,1885,
671,7800,ACTIVE,1,FOR SALE,1931,997
672,9700,ACTIVE,,FOR SALE,1894,794
673,5500,ACTIVE,,FOR SALE,1929,1364
674,7900,ACTIVE,2,FOR SALE,1995,930
675,5500,ACTIVE,3,FOR SALE,1928,1272
676,4420,ACTIVE,,FOR SALE PRICE REDUCED,2018,1578
677,8700,ACTIVE,1,FOR SALE,2006,793
678,7252,ACTIVE,,NEW LISTING FOR SALE,1997,909
679,11664,ACTIVE,1,FEATURED LISTING,1937,2314
680,165,ACTIVE,,NEW LISTING FOR SALE,2015,7697
681,16,ACTIVE,1,FOR SALE,,2900
682,11664,ACTIVE,1,FOR SALE,2008,3855
683,117,ACTIVE,,FOR SALE,2015,3185
684,17661,ACTIVE,2,FOR SALE PRICE REDUCED,2023,2208
685,3795,ACTIVE,2,FOR SALE,1955,8933
686,11461,ACTIVE,,NEW LISTING FOR SALE,2024,2618
687,13600,ACTIVE,2,FOR SALE,2023,2202
688,49,ACTIVE,,FOR SALE,2017,736
689,,,2,NEW LISTING FOR SALE,1950,
690,2268,ACTIVE,3,FOR SALE,2006,1278
691,5909,ACTIVE,,FOR SALE PRICE REDUCED,1991,338
692,,,1,FOR SALE,1923,600
693,,ACTIVE,,NEW LISTING FOR SALE,1909,
694,,ACTIVE,1,NEW LISTING FOR SALE,1939,5924
695,,ACTIVE,,FOR SALE,1939,4824
696,,ACTIVE,4,FOR SALE PRICE REDUCED,1899,576
697,,ACTIVE,4,OPEN HOUSE FOR SALE,2363,
698,,ACTIVE,,FOR SALE PRICE REDUCED,1910,
699,,ACTIVE,,FOR SALE,1920,949
700,,ACTIVE,,FOR SALE,1899,434
701,,ACTIVE,,FOR SALE,1911,2149
702,,ACTIVE,2,OPEN HOUSE FOR SALE,1976,
703,,,,FOR SALE,2015,
704,175,ACTIVE,2,NEW LISTING FOR SALE,2009,1731
705,19,ACTIVE,,NEW LISTING FOR SALE,2002,1186
706,,ACTIVE,2,SALE UNDER CONTRACT,1906,
707,,ACTIVE,,SALE UNDER CONTRACT,1906,
708,,ACTIVE,3,FOR SALE,2008,1005
709,,ACTIVE,3,FOR SALE,,2094
710,,ACTIVE,,FOR SALE,1925,305
711,,ACTIVE,1,FOR SALE,2005,2860
712,,ACTIVE,1,FOR SALE,1925,2538
713,,ACTIVE,1,FOR SALE,1910,262
714,,ACTIVE,,FOR SALE,,436
715,,ACTIVE,1,FOR SALE,1901,4201
716,,ACTIVE,2,FOR SALE,2006,625
717,,ACTIVE,2,NEW LISTING FOR SALE,1930,438
718,,,1,FOR SALE,,
719,,ACTIVE,,FOR SALE - ACTIVE,1972,424
720,,ACTIVE,,FOR SALE - ACTIVE,1927,338
721,1100,ACTIVE,,FOR SALE - ACTIVE,2001,350
722,700,ACTIVE,,FOR SALE - ACTIVE,1971,457
723,730,ACTIVE,,FOR SALE - ACTIVE,2002,397
724,1450,ACTIVE,,FOR SALE - ACTIVE,2008,345
725,2879,ACTIVE,,FOR SALE - ACTIVE,1927,677
726,2507,ACTIVE,,FOR SALE - ACTIVE,2024,568
727,860,ACTIVE,,FOR SALE - ACTIVE,1984,
728,1880,ACTIVE,,FOR SALE - ACTIVE,1960,478
729,3270,ACTIVE,,FOR SALE - ACTIVE,1930,336
730,949,ACTIVE,,FOR SALE - ACTIVE,2024,390
731,1065,ACTIVE,,FOR SALE - ACTIVE,2009,704
732,1500,COMING SOON,,COMING SOON ON JUN 25,2024,567
733,1400,COMING SOON,,COMING SOON ON JUL 19,1920,999
734,1889,ACTIVE,,FOR SALE - ACTIVE,1928,740
735,1409,ACTIVE,,FOR SALE - ACTIVE,1971,709
736,2071,ACTIVE,,FOR SALE - ACTIVE,2001,869
737,1106,ACTIVE,,FOR SALE - ACTIVE,2007,325
738,1243,ACTIVE,,FOR SALE - ACTIVE,1958,382
739,1305,ACTIVE,,FOR SALE - ACTIVE,2000,360
740,1924,ACTIVE,,FOR SALE - ACTIVE,1997,251
