Sno,BHK,Property,Beds,Baths,Balcony,Address,City,State,Country,Landmarks
315,5,Single Family,5,6,2,10801 Chalon Rd,Los Angeles,CA,USA,Los Angeles
316,6,Single Family,6,4,1,1504 N Kenter Ave,Los Angeles,CA,USA,Los Angeles
317,6,Single Family,6,7,1,1055 Stradella Rd,Los Angeles,CA,USA,Los Angeles
318,32,multi-unit,32,42,1,2391 Roscomare Rd,Los Angeles,CA,USA,Los Angeles
319,8,Single Family,8,12,1,10710 Chalon Rd,Los Angeles,CA,USA,Los Angeles
320,1,Single Family,1,1,2,2125 Puerto Del Mundo,CA,CA,USA,Fallbrook
321,5,Single Family,5,4,,35 Payne,Portland,CT,USA,Portland
322,2,Co-op,2,1,,"2440 Amsterdam Avenue, #5N",New York,NY,USA,Washington Heights
323,6,Single Family,6,4,1,863 Riverside Drive,New York,NY,USA,Washington Heights
324,4,Co-op,4,4,,"CASTLE VILLAGE, #40/48/49",New York,NY,USA,Hudson Heights
325,4,Co-op,4,3,1,"140 Cabrini Boulevard 111-112, #111112",New York,NY,USA,Hudson Heights
326,6,Single Family,6,4,,912 St Nicholas Avenue,New York,NY,USA,Washington Heights
327,623,,623,,1,"THE RIVIERA, #11G",New York,NY,USA,Washington Heights
328,15,Villas / Townhouses,15,6,1,546 West 165th Street,New York,NY,USA,Washington Heights
329,6,Single Family,6,3,1,549 West 187th Street,New York,NY,USA,Washington Heights
330,2,Single Family,2,2,1,11 Sylvan Terrace,New York,NY,USA,Washington Heights
331,4,Co-op,4,3,,"800 Riverside Drive 6E, #6E",New York,NY,USA,Washington Heights
332,623,,623,,,"AMMANN, #PH8A",New York,NY,USA,Hudson Heights
333,578,Land/Lot,578,,2,5 Red Rock Island,San Francisco,CA,USA,San Francisco
334,3,Condominium,3,3,2,"338 Spear Street, #35D",San Francisco,CA,USA,San Francisco
335,2,Condominium,2,2,1,"239 Brannan Street, #10G",San Francisco,CA,USA,San Francisco
336,2,Condominium,2,1,,211 Cole Street,San Francisco,CA,USA,San Francisco
337,2,Condominium,2,1,2,209 Cole Street,San Francisco,CA,USA,San Francisco
338,2,Condominium,2,2,,"72 Townsend Street, #402",San Francisco,CA,USA,San Francisco
339,3,Single Family,3,2,2,509 Liberty Avenue,Brooklyn,NY,USA,East New York
340,10,Single Family,10,4,1,321 Milford Street,Brooklyn,NY,USA,East New York
341,9,Villas / Townhouses,9,6,,619 Emerald Street,Brooklyn,NY,USA,East New York
342,10,Single Family,10,4,1,750 Glenmore Avenue,Brooklyn,NY,USA,East New York
343,8,Single Family,8,3,2,297 Pennsylvania Avenue,Brooklyn,NY,USA,East New York
344,6,Single Family,6,3,1,690 Vermont Street,Brooklyn,NY,USA,East New York
345,7,Single Family,7,3,,427 Pennsylvania Avenue,Brooklyn,NY,USA,East New York
346,4,Single Family,4,3,2,914 Pine Street,Brooklyn,NY,USA,East New York
347,7,Single Family,7,3,,731 Wyona Street,Brooklyn,NY,USA,East New York
348,2,Condominium,2,2,,Four Seasons Private Residences Lake Austin,Austin,TX,USA,Lake Austin
349,1,Condo,1,1,2,"832 W Oakdale Ave Unit 1G,",Chicago,IL,USA,2.5% buyer's agent fee
350,1,Condo,1,1,2,"819 E 53rd St #3,",Chicago,IL,USA,CHI - Hyde Park
351,2,Condo,2,2,2,"3944 N Claremont Ave #307,",Chicago,IL,USA,Has A/C
352,1,Condo,1,1,2,"1030 N State St Unit 41A,",Chicago,IL,USA,In-unit laundry (washer and dryer)
353,1,Condo,1,15,2,"645 N Kingsbury St #1003,",Chicago,IL,USA,Has A/C
354,3,Condo,3,2,2,"1159 N Hudson St Unit 1-101,",Chicago,IL,USA,Has A/C
355,3,Single-family,3,2,2,"6502 34th Ave NW,",Seattle,WA,USA,Sunset Hill
356,5,Single-family,5,4,2,"106 NW 101st St,",Seattle,WA,USA,Has A/C
357,1,,1,1,2,"312 W 5th St #507,",Los Angeles,CA,USA,
358,5,Single-family,5,3,2,"2458 Calle Tortuosa,",San Diego,CA,USA,2% buyer's agent fee
359,3,Single-family,3,15,2,"15680 SE Wallace Rd,",Milwaukie,OR,USA,"145 - Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada"
360,2,Townhome,2,25,2,"4264 N Longview Ave,",Portland,OR,USA,OVERLOOK
361,2,Condo,2,2,2,"1025 1st St SE #915,",Washington,DC,USA,Has A/C
362,4,Townhome,4,35,2,"1210 Queen St NE #2,",Washington,DC,USA,Has A/C
363,3,Single-family,3,3,2,"162 Southwood Dr,",San Francisco,CA,USA,
364,3,Single-family,3,3,2,"219 Ralston St,",San Francisco,CA,USA,SF District 3
365,3,Single-family,3,2,2,"5878 Macadam Ct,",SAN JOSE,CA,USA,2.5% buyer's agent fee
366,4,Single-family,4,25,2,"4001 Silver Creek Rd,",SAN JOSE,CA,USA,0.25% buyer's agent fee
367,2,Condo,2,2,2,"13604 Caldwell Dr #29,",Austin,TX,USA,Has A/C
368,3,Single-family,3,2,2,"1615 Glencrest Dr,",Austin,TX,USA,In-unit laundry (washer and dryer)
369,3,Single-family,3,2,2,"10668 Windrose Point Ave,",Las Vegas,NV,USA,Has A/C
370,4,Single-family,4,3,2,"4617 Ashington St,",Las Vegas,NV,USA,Has A/C
371,6,Single Family,6,5,1,1867 N Burling Street,Chicago,IL,USA,Lincoln Park
372,10,Single Family,10,8,1,2026 N Kenmore Avenue,Chicago,IL,USA,Lincoln Park
373,3,Condominium,3,4,1,"500 W Superior Street, #2703",Chicago,IL,USA,Near North Side
374,6,Single Family,6,6,1,52 E BELLEVUE Place,Chicago,IL,USA,Near North Side
375,5,Single Family,5,6,,1970 N Burling Street,Chicago,IL,USA,Lincoln Park
376,6,Single Family,6,6,1,1521 N State Parkway,Chicago,IL,USA,Near North Side
377,3,Condominium,3,3,2,"159 E WALTON Place, #31A",Chicago,IL,USA,Near North Side
378,5,Single Family,5,5,,2325 N Cleveland Avenue,Chicago,IL,USA,Lincoln Park
379,3,Condominium,3,3,,"159 E Walton Place, #22A",Chicago,IL,USA,Near North Side
380,4,Condominium,4,4,2,"9 W Walton Street, #2902",Chicago,IL,USA,Near North Side
381,5,Single Family,5,4,2,1856 N Mohawk Street,Chicago,IL,USA,Lincoln Park
382,4,Single Family,4,4,1,401 W Dickens Avenue,Chicago,IL,USA,Lincoln Park
383,6,Single Family,6,5,,362 Copa De Oro Rd,Los Angeles,CA,USA,Los Angeles
384,9,Single Family,9,13,,10936 Chalon Rd,Los Angeles,CA,USA,Los Angeles
385,9,Estate,9,13,1,1859 Bel Air Rd,Los Angeles,CA,USA,Los Angeles
386,6,Single Family,6,6,2,0 Copa De Oro Rd,Los Angeles,CA,USA,Los Angeles
387,5,Estate,5,8,,1680 N Doheny Dr,Los Angeles,CA,USA,Los Angeles
388,6,Single Family,6,9,2,615 N Faring Rd,Los Angeles,CA,USA,Los Angeles
389,5,Single Family,5,6,2,10801 Chalon Rd,Los Angeles,CA,USA,Los Angeles
390,6,Single Family,6,4,1,1504 N Kenter Ave,Los Angeles,CA,USA,Los Angeles
391,6,Single Family,6,7,1,1055 Stradella Rd,Los Angeles,CA,USA,Los Angeles
392,32,multi-unit,32,42,1,2391 Roscomare Rd,Los Angeles,CA,USA,Los Angeles
393,8,Single Family,8,12,1,10710 Chalon Rd,Los Angeles,CA,USA,Los Angeles
394,1,Single Family,1,1,2,2125 Puerto Del Mundo,CA,CA,USA,Fallbrook
395,5,Single Family,5,4,,35 Payne,Portland,CT,USA,Portland
396,2,Co-op,2,1,,"2440 Amsterdam Avenue, #5N",New York,NY,USA,Washington Heights
397,6,Single Family,6,4,1,863 Riverside Drive,New York,NY,USA,Washington Heights
398,4,Co-op,4,4,,"CASTLE VILLAGE, #40/48/49",New York,NY,USA,Hudson Heights
399,4,Co-op,4,3,1,"140 Cabrini Boulevard 111-112, #111112",New York,NY,USA,Hudson Heights
400,6,Single Family,6,4,,912 St Nicholas Avenue,New York,NY,USA,Washington Heights
401,623,,623,,1,"THE RIVIERA, #11G",New York,NY,USA,Washington Heights
402,15,Villas / Townhouses,15,6,1,546 West 165th Street,New York,NY,USA,Washington Heights
403,6,Single Family,6,3,1,549 West 187th Street,New York,NY,USA,Washington Heights
404,2,Single Family,2,2,1,11 Sylvan Terrace,New York,NY,USA,Washington Heights
405,4,Co-op,4,3,,"800 Riverside Drive 6E, #6E",New York,NY,USA,Washington Heights
406,623,,623,,,"AMMANN, #PH8A",New York,NY,USA,Hudson Heights
407,578,Land/Lot,578,,2,5 Red Rock Island,San Francisco,CA,USA,San Francisco
408,3,Condominium,3,3,2,"338 Spear Street, #35D",San Francisco,CA,USA,San Francisco
409,2,Condominium,2,2,1,"239 Brannan Street, #10G",San Francisco,CA,USA,San Francisco
410,2,Condominium,2,1,,211 Cole Street,San Francisco,CA,USA,San Francisco
411,2,Condominium,2,1,2,209 Cole Street,San Francisco,CA,USA,San Francisco
412,2,Condominium,2,2,,"72 Townsend Street, #402",San Francisco,CA,USA,San Francisco
